property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,ss residency,sector 6,0.48,5333.33,3,2,2,2.0,Moderately Old,111.0,0,0,0,0,0,0,54
flat,ansal housing highland park,sector 103,1.1,6242.91,3,3,3+,7.0,New Property,1500.0,0,0,0,0,0,0,87
flat,sapphire eighty three,sector 83,0.65,9285.71,1,1,0,6.0,Relatively New,700.0,0,0,0,0,0,0,0
flat,unitech the residences,sector 33,1.35,8737.86,3,4,2,8.0,Moderately Old,1398.0,0,1,0,0,0,0,49
flat,m3m capital,sector 113,3.25,14142.73,4,4,3+,34.0,Under Construction,2553.0,1,1,0,1,0,0,115
flat,experion windchants,sector 112,4.75,12622.91,3,5,3+,4.0,Relatively New,3405.0,0,1,0,0,0,1,42
flat,ss the coralwood,sector 84,1.1,5820.11,3,3,3+,12.0,Moderately Old,1710.0,0,0,0,0,0,1,104
house,raj villas,sector 52,8.0,25542.78,6,5,3+,4.0,Moderately Old,3132.0,0,0,0,0,0,0,0
flat,godrej oasis,sector 88a,1.29,7799.27,3,3,3,5.0,New Property,1642.0,1,0,0,0,1,0,65
flat,chd avenue,sector 71,1.16,6655.19,3,3,3,5.0,Moderately Old,1577.0,0,1,0,0,0,1,73
flat,m3m merlin,sector 67,3.4,14419.0,3,4,3,17.0,Relatively New,2134.0,0,1,0,0,0,1,174
flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,1956.0,0,1,0,0,0,2,0
flat,tulip violet,sector 69,1.5,10714.29,3,3,2,8.0,Relatively New,1492.0,0,0,0,1,0,1,174
flat,smart world gems,sector 89,1.71,12000.0,3,2,0,3.0,New Property,1423.0,0,0,0,0,0,0,45
house,dlf city phase 1,sector 26,5.5,30555.56,4,4,3,2.0,Moderately Old,1800.0,1,1,0,1,0,0,69
house,independent,sector 53,4.0,17777.78,5,5,2,3.0,Relatively New,2250.0,1,0,0,0,0,0,23
house,independent,sector 21,0.45,8411.21,3,2,1,1.0,Old Property,594.0,0,0,0,0,0,0,0
flat,dlf regal gardens,sector 90,1.29,9020.98,3,3,3,7.0,Relatively New,1540.0,1,0,0,0,0,0,174
flat,chd avenue,sector 71,0.79,6594.32,2,2,2,8.0,Relatively New,1084.0,0,0,0,0,1,0,0
house,independent,sector 2,3.65,23442.52,3,9,3+,3.0,New Property,1557.0,0,1,0,1,0,1,116
flat,tulip violet,sector 69,1.68,8358.21,4,4,2,2.0,Relatively New,1819.0,0,0,0,1,0,0,112
flat,krisumi waterfall residences,sector 36a,2.2,14874.92,2,2,2,23.0,New Property,1338.0,0,0,0,0,0,0,15
flat,mapsko casa bella,sector 82,1.25,6377.55,3,4,3+,8.0,Under Construction,1774.0,0,0,0,0,0,0,54
flat,m3m golfestate,sector 65,6.15,15998.96,3,5,3+,1.0,Relatively New,4271.0,0,1,0,0,0,2,49
flat,imperia the esfera,sector 37c,0.99,5454.55,3,4,3,9.0,Relatively New,1660.0,0,1,0,0,0,0,49
house,independent,sector 27,8.0,26298.49,9,9,3,4.0,Relatively New,3042.0,1,1,1,1,0,2,110
flat,m3m woodshire,sector 107,0.82,6002.93,2,2,3+,7.0,Relatively New,1236.0,0,0,0,0,0,0,111
flat,dlf new town heights,sector 86,1.54,5785.12,4,4,3+,21.0,Moderately Old,2139.0,1,1,0,1,0,0,80
flat,experion the heartsong,sector 108,2.0,8554.32,3,3,3+,14.0,Relatively New,2116.0,0,1,0,0,0,0,95
flat,ss the leaf,sector 85,1.22,13318.78,2,2,3,16.0,Relatively New,1300.0,0,0,1,0,0,0,81
house,ansal celebrity homes,sector 2,5.2,10000.0,4,5,2,1.0,Moderately Old,5200.0,0,0,0,0,0,0,0
flat,raheja atlantis,sector 31,5.5,18688.41,4,5,3+,1.0,Relatively New,2663.0,1,1,0,1,0,0,81
house,independent,sector 2,2.55,16377.65,3,3,2,2.0,Old Property,1557.0,0,0,0,0,0,0,8
flat,signature global park,sohna road,0.65,5637.47,2,2,2,2.0,Relatively New,1043.0,0,0,0,1,0,0,118
