property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,ss residency,sector 6,0.48,5333.33,900.0,Carpet area: 100 (83.61 sq.m.),3,2,2,2.0,,Moderately Old,,,100.0,0,0,0,0,0,0,54,300.0
flat,ansal housing highland park,sector 103,1.1,6242.91,1762.0,Super Built up area 1762(163.7 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,3+,7.0,North-East,New Property,1762.0,1500.0,1300.0,0,0,0,0,0,0,87,587.3333333333334
flat,sapphire eighty three,sector 83,0.65,9285.71,700.0,Built Up area: 700 (65.03 sq.m.),1,1,0,6.0,,Undefined,,700.0,,0,0,0,0,0,0,0,700.0
flat,unitech the residences,sector 33,1.35,8737.86,1545.0,Super Built up area 1545(143.54 sq.m.),3,4,2,8.0,North-East,Moderately Old,1545.0,,,0,1,0,0,0,0,49,515.0
flat,m3m capital,sector 113,3.25,14142.73,2298.0,Carpet area: 2298 (213.49 sq.m.),4,4,3+,34.0,,Under Construction,,,2298.0,1,1,0,1,0,0,115,574.5
flat,experion windchants,sector 112,4.75,12622.91,3763.0,Super Built up area 3763(349.59 sq.m.),3,5,3+,4.0,West,Relatively New,3763.0,,,0,1,0,0,0,1,42,1254.3333333333333
flat,ss the coralwood,sector 84,1.1,5820.11,1890.0,Super Built up area 1890(175.59 sq.m.),3,3,3+,12.0,East,Moderately Old,1890.0,,,0,0,0,0,0,1,104,630.0
house,raj villas,sector 52,8.0,25542.78,3132.0,Carpet area: 348 (290.97 sq.m.),6,5,3+,4.0,East,Undefined,,,348.0,0,0,0,0,0,0,0,522.0
flat,godrej oasis,sector 88a,1.29,7799.27,1654.0,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3,3,3,5.0,,New Property,1629.0,,1628.0,1,0,0,0,1,0,65,551.3333333333334
flat,chd avenue,sector 71,1.16,6655.19,1743.0,Super Built up area 1743(161.93 sq.m.),3,3,3,5.0,South-West,Moderately Old,1743.0,,,0,1,0,0,0,1,73,581.0
flat,m3m merlin,sector 67,3.4,14419.0,2358.0,Super Built up area 2358(219.07 sq.m.),3,4,3,17.0,North,Relatively New,2358.0,,,0,1,0,0,0,1,174,786.0
flat,essel tower,sector 28,2.2,12500.0,1760.0,Carpet area: 1760 (163.51 sq.m.),3,4,3+,3.0,,Moderately Old,,,1760.0,0,1,0,0,0,2,0,586.6666666666666
flat,tulip violet,sector 69,1.5,10714.29,1400.0,Super Built up area 1578(146.6 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,2,8.0,North-East,Relatively New,1578.0,,1400.0,0,0,0,1,0,1,174,466.6666666666667
flat,smart world gems,sector 89,1.71,12000.0,1425.0,Built Up area: 1423 (132.2 sq.m.),3,2,0,3.0,,Undefined,,1423.0,,0,0,0,0,0,0,45,475.0
house,dlf city phase 1,sector 26,5.5,30555.56,1800.0,Plot area 200(167.23 sq.m.),4,4,3,2.0,North-East,Moderately Old,,200.0,,1,1,0,1,0,0,69,450.0
house,independent,sector 53,4.0,17777.78,2250.0,Plot area 250(209.03 sq.m.),5,5,2,3.0,,Relatively New,,250.0,,1,0,0,0,0,0,23,450.0
house,independent,sector 21,0.45,8411.21,535.0,Carpet area: 535 (49.7 sq.m.),3,2,1,1.0,,Undefined,,,535.0,0,0,0,0,0,0,0,178.33333333333334
flat,dlf regal gardens,sector 90,1.29,9020.98,1430.0,Super Built up area 1702(158.12 sq.m.)Built Up area: 1540 sq.ft. (143.07 sq.m.)Carpet area: 1430 sq.ft. (132.85 sq.m.),3,3,3,7.0,East,Relatively New,1702.0,1540.0,1430.0,1,0,0,0,0,0,174,476.6666666666667
flat,chd avenue,sector 71,0.79,6594.32,1198.0,Super Built up area 1198(111.3 sq.m.),2,2,2,8.0,South-East,Relatively New,1198.0,,,0,0,0,0,1,0,0,599.0
house,independent,sector 2,3.65,23442.52,1557.0,Plot area 173(144.65 sq.m.),3,9,3+,3.0,West,New Property,,173.0,,0,1,0,1,0,1,116,519.0
flat,tulip violet,sector 69,1.68,8358.21,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,2.0,North-West,Relatively New,2010.0,,,0,0,0,1,0,0,112,502.5
flat,krisumi waterfall residences,sector 36a,2.2,14874.92,1479.0,Super Built up area 1479(137.4 sq.m.),2,2,2,23.0,North,New Property,1479.0,,,0,0,0,0,0,0,15,739.5
flat,mapsko casa bella,sector 82,1.25,6377.55,1960.0,Super Built up area 1960(182.09 sq.m.),3,4,3+,8.0,,Under Construction,1960.0,,,0,0,0,0,0,0,54,653.3333333333334
flat,m3m golfestate,sector 65,6.15,15998.96,3844.0,Carpet area: 3844 (357.12 sq.m.),3,5,3+,1.0,West,Relatively New,,,3844.0,0,1,0,0,0,2,49,1281.3333333333333
flat,imperia the esfera,sector 37c,0.99,5454.55,1815.0,Super Built up area 1815(168.62 sq.m.)Carpet area: 1510 sq.ft. (140.28 sq.m.),3,4,3,9.0,North-East,Relatively New,1815.0,,1510.0,0,1,0,0,0,0,49,605.0
house,independent,sector 27,8.0,26298.49,3042.0,Plot area 338(282.61 sq.m.),9,9,3,4.0,North-East,Relatively New,,338.0,,1,1,1,1,0,2,110,338.0
flat,m3m woodshire,sector 107,0.82,6002.93,1366.0,Super Built up area 1366(126.91 sq.m.),2,2,3+,7.0,North-East,Relatively New,1366.0,,,0,0,0,0,0,0,111,683.0
flat,dlf new town heights,sector 86,1.54,5785.12,2662.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,21.0,North-West,Moderately Old,2364.0,,,1,1,0,1,0,0,80,665.5
flat,experion the heartsong,sector 108,2.0,8554.32,2338.0,Super Built up area 2338(217.21 sq.m.),3,3,3+,14.0,East,Relatively New,2338.0,,,0,1,0,0,0,0,95,779.3333333333334
